Toronto (v Death and Co),Whiskey [Rye]
Toronto (v FAoMD),Bitters [Angostura]
Toronto (v FAoMD),Fernet Branca
Toronto (v FAoMD),Whiskey [Canadian]
Tuxedo,Absinthe
Tuxedo,Gin [London]
Tuxedo,Maraschino Liquor
Tuxedo,Vermouth [Dry]
Twelve Mile Limit (v Classic),Brandy [Cognac]
Twelve Mile Limit (v Classic),Rum [Cuban White]
Twelve Mile Limit (v Classic),Syrup [Grenadine]
Twelve Mile Limit (v Haigh),Brandy [Cognac]
Twelve Mile Limit (v Haigh),Rum [Cuban White]
Twelve Mile Limit (v Haigh),Syrup [Grenadine]
Twelve Mile Limit (v Haigh),Whiskey [Rye]
Vampiro,Tequila (silver)
Vasco de Gama,Scotch [Islay]
Vasco de Gama,Whiskey [Rye]
Vesper,Gin [London]
Vesper,Lillet Blanc
Vesper,Vodka
Vieux Carré,Bénédictine
Vieux Carré,Bitters [Angostura]
Vieux Carré,Bitters [Peychaud's]
Vieux Carré,Brandy [Cognac]
Vieux Carré,Vermouth [Sweet]
